net,netname,regional_association
UCSB,U.C. Santa Barbara,SCCOOS
CODAR,CODAR,CENCOOS
Rutgers,Rutgers University,MARACOOS
SLO,San Luis Obispo,CENCOOS
ODU,Old Dominion University,MARACOOS
URI,University of Rhode Island,MARACOOS
BML,Bodega Marine Laboratory,CENCOOS
MTU,Michigan Technological University,
OSU,Oregon State University,NANOOS
UPR,University of Puerto Rico,CariCOOS
UMiami,University of Miami,SECOORA
WHOI,Woods Hole Oceanographic Institution,NERACOOS
SC,University of South Carolina,SECOORA
UConn,University of Connecticut,MARACOOS
USM,University of Southern Mississippi,GCOOS
UNC,University of North Carolina,SECOORA
FAU,Florida Atlantic University,SECOORA
FIT,Florida Tech,SECOORA
SKIO,Skidaway Institute of Oceanography,SECOORA
UH,University of Hawaii,PACIOOS
USF,University of South Florida,SECOORA
RATES,"RATES, Inc",GCOOS
USC,University of Southern California,SCCOOS
SIO,Scripps Institution of Oceanography,SCCOOS
UAF,University of Alaska,AOOS
TexAM,Texas A&M,GCOOS
Fugro,Fugro,GCOOS
UMassDart,University of Massachusetts Dartmouth,MARACOOS