sta,staname
ACI1,Anacapa Island
AGL1,"Pt. Arguello, CA"
AMAG,"Amagansett, New York"
ANGL,"Angel Island, CA"
ANWR,Aransas National Wildlife Refuge
ARG1,"Pt. Arguello, CA"
ASSA,"Assateague, MD"
BIGC,"Big Creek, CA"
BISL,"Block Island, RI"
BLCK,"Block Island, RI"
BML1,"Bodega Marine Laboratory, CA"
BMLR,"Bodega Marine Laboratory Long Range, CA"
BRAD,"Bradley Beach, NJ"
BRAG,"Fort Bragg, CA"
BRIG,"Brigantine, NJ"
BRMR,"Brigantine, NJ"
BRNT,"Brant Beach, NJ"
BRVW,Bridgeview Park
CAPE,"Rutgers Cape Shore Lab, NJ"
CBL1,"Cape Blanco, OR"
CDDO,"Cabo Rojo, Puerto Rico"
CDN,"Crandon, FL"
CEDR,"Cedar Island, VA"
CMPT,"Cape May Point, NJ"
CNS,Canaveral National Seashore
COP1,Coal Oil Pt.
CORE,"Core Banks, NC"
CPLF,"Chevron Pipeline Facility, LA"
CPVN,"Camp Varnum, RI"
CRIS,"Crissy Field, CA"
CSW,"Fort Caswell, NC"
DCLR,"Diablo Canyon Long Range, CA"
DCSR,"Diablo Canyon Standard Range, CA"
ESPT,"Eastern Point Retreat House, MA"
ESTR,"Point Estero, CA"
EXPL,"The Exploratorium Museum, CA"
FARO,"Cabo Rojo Lighthouse at Cabo Rojo, Puerto Rico"
FBK1,"FallBack22, Pt. Sal, CA"
FDS,"Ft. De Soto, FL"
FLND,"First Landing State Park, VA"
FOCF,"Fourth Cliff Recreation Area, MA"
FORT,"Fort Funston, CA"
FRDO,"Reserva Natural Cabezas de San Juan, Fajardo"
FTMK,Fort Michilimackinac
FURA,"Anasco, Puerto Rico"
GCAP,"Great Captain Island, CT"
GCVE,"Gerstle Cove, Salt Point State Park, CA"
GCYN,"Granite Canyon, CA"
GPTP,"Gulfport Harbor Pier, MS"
GTN,"Georgetown, SC"
HATY,"Cape Hatteras, NC"
HAUL,"Haulover Inlet, FL"
HBSP,"Henderson Beach State Park, FL"
HBSR,"Horseneck Beach State Reserve, MA"
HEMP,"Hempstead, NY"
HILL,"Hillsboro, FL"
HLGT,"Holgate, NJ"
HLPN,"Cape Henlopen, DE"
HOOK,Sandy Hook
HTR,"Hightower Beach Park, FL"
JEFF,"Ft Jefferson, FL"
JEK,"Jekyll Island, GA, USA"
JENN,Jennettes Pier
KAK,"Kaka'ako, HI"
KAL,"Kalaeloa, HI"
KAL1,"Kalaloch area, Olympic National Park, Forks, WA"
KAP,"Kapolei, HI"
KBCH,"Kalifornsky Beach, Kenai, AK"
KKH,"Keaukaha, HI"
KNA,"Kaena, HI"
KOK,"Koko Head, HI"
KSC,"Kennedy Space Center, FL"
LEWE,"Lewes, DE"
LISL,"Little Island Park, VA"
LOO1,"Loomis Lake, OR"
LOVE,Loveladies
LPWR,"Long Point Wildlife Refuge, MA"
LUIS,"Point San Luis, CA"
MABO,"Punta Tuna Lighthouse, Maunabo, Puerto Rico"
MARA,"Marathon, FL"
MBAC,"Monterey Bay Academy, CA"
MBNP,Matagorda Bay Nature Park
MBP,"Myrtle Beach State Park, SC"
MCPK,"McCollum Park Beach City, TX"
MGS1,Mandalay Generating Station
MISQ,"Misquamicut, RI"
MLML,"Moss Landing Marine Laboratories, CA"
MNTK,"Montauk, NY"
MOLA,"Moses Lake Floodgate, Texas City, TX"
MONT,"Montara Sanitary District, Montara, CA"
MRCH,"Moriches, NY"
MVCO,"Martha's Vineyard, MA"
NANT,"Nantucket Island, MA"
NAPL,"Naples, FL"
NAUS,"Nauset, MA"
NIC1,"Nicholas Canyon, CA"
NKL,"North Key Largo, FL"
NWTP,"Nantucket, MA"
OBSP,"Orange Beach State Park, AL"
OCRA,"Ocracoke Island, NC"
OLDB,"Old Bridge Waterfront Park, NJ"
PAFS,"Point Arena Field Station, CA"
PBON,"Point Bonita, CA"
PBRW,"Point Barrow, AK"
PCYC,"Pass Christian Yacht Club, MS"
PILR,"Pillar Point Air Force Station, CA"
PINS,"Padre Island, TX"
PLA8,"Placement 8, Port Arthur,TX"
PLPI,"Pleasure Pier Blvd, Port Arthur, TX"
PMGC,Port Mansfield GERG Codar
POPB,"Popham Beach, ME"
PORT,"Port Monmouth, NJ"
PPK,"Pepe'ekeo, HI"
PPNS,"Point Pinos, Pacific Grove, CA"
PREY,"Point Reyes, CA"
PSG1,"Point St. George, CA"
PSLR,"Point Sur Long Range, CA"
PTC1,"Point Conception, CA"
PTM1,"Point Mugu, CA"
PTWN,"Provincetown, MA"
PYFC,"Ponce Yacht and Fishing Club at Ponce, Puerto Rico"
QTA,"Quinta"""
RAGG,"Ragged Point, CA"
RATH,"Strathmere, NJ"
RDSR,"Reddington, FL"
RFG1,Refugio State Beach
RTC1,"Romberg Tiburon Center, CA"
SAUS,"Sausalito-Marin City Sanitary District, CA"
SBAY,"Club de Pesca Rec Isla de Cabras, San Juan Bay"
SBSR,"Salisbury Beach State Reservation, MA"
SCCI,"Catalina Island, CA"
SCDB,"Dan Blocker, CA"
SCDH,"Dockweiler Headquarters, CA"
SCI1,"Santa Cruz Island, CA"
SCNB,"Newport Beach, CA"
SCPF,"Point Fermin, CA"
SCRZ,"Santa Cruz, CA"
SCTB,"Torrance Beach, CA"
SDBP,"San Diego, Border Park"
SDCP,"Camp Pendleton, CA"
SDDP,"Dana Point, CA"
SDPD,"Susan Dionne Pad, Kenai, AK"
SDPL,"San Diego, Point Loma"
SDSC,"San Clemente Is, CA"
SDSE,"San Elijo State Beach, CA"
SDSL,"San Diego, Scripps Long-range"
SDSN,"San Clemente Island North, CA"
SDUT,"Upper Trestles, San Diego, CA"
SDWW,"Point Loma Waste Water Treatment Plant, CA"
SEA1,"Seaside, OR"
SEAB,"Sea Bright, NJ"
SGRV,"Singing River, MS"
SHEL,"Shelter Cove, CA"
SILD,"Staten Island, NY"
SISL,"Silver Slipper Casino, MS"
SLID,"Slide Ranch, CA"
SMOA,"Humboldt Bay, Samoa, CA"
SMPT,"Smith Point, Anahuac,TX"
SNI1,"San Nicolas Island, CA"
SOB2,"South Beach, Martha's Vineyard, Edgartown, MA"
SPRK,"Seaside Park, NJ"
SSD1,Summerland Sanitary District
SSDE,"Surfside, TX"
STF,"Dania Beach, FL"
STLI,"Stehli Beach, NY"
STV2,"Fort Stevens, OR"
SUNS,"Sunset Beach Resort, Cape Charles, VA"
SWPP,"Southwest Pass, LA"
THOM,"St Thomas, USVI"
TLSP,"Two Lights State Park, ME"
TRIN,"Trinidad, CA"
TRS,"Treasure Shores, FL"
VEN,"Venice, FL"
VENI,"Venice, FL"
VIEW,"Ocean View Beach, VA"
VIR,"Virginia Key, FL"
WAIN,"Wainwright, AK"
WEST,"Key West, FL"
WILD,Wildwood
WIN1,"Winchester Bay, OR"
WLD2,"Waldport, OR"
WOOD,"North Wildwood, NJ"
WSH1,"Washburne, OR"
WSP1,"Westport State Park, WA"
YHL1,"Yaquina Head Long, OR"
YHS2,"Yaquina Head South, OR"